league_code,team,city,iso2
D1,Duisburg,Duisburg,DE
D1,Fortuna Dusseldorf,Düsseldorf,DE
D1,Greuther Furth,Fürth,DE
D1,Hannover,Hannover,DE
D1,Hansa Rostock,Rostock,DE
D1,Heidenheim,Heidenheim an der Brenz,DE
D1,Hertha,Berlin,DE
D1,Holstein Kiel,Kiel,DE
D1,Ingolstadt,Ingolstadt,DE
D1,Kaiserslautern,Kaiserslautern,DE
D1,Karlsruhe,Karlsruhe,DE
D1,Munich 1860,Munich,DE
D1,Nurnberg,Nuremberg,DE
D1,St Pauli,Hamburg,DE
D1,Unterhaching,Unterhaching,DE
D1,Wolfsburg,Wolfsburg,DE
DNK,Aalborg,Aalborg,DK
DNK,Esbjerg,Esbjerg,DK
DNK,Fredericia,Fredericia,DK
DNK,Helsingor,Helsingør,DK
DNK,Hobro,Hobro,DK
DNK,Hvidovre IF,Hvidovre,DK
DNK,Vejle,Vejle,DK
DNK,Vendsyssel,Hjørring,DK
DNK,Vestsjaelland,Slagelse,DK
E0,Birmingham,Birmingham,GB
E0,Blackburn,Blackburn,GB
E0,Blackpool,Blackpool,GB
E0,Bolton,Bolton,GB
E0,Bradford,Bradford,GB
E0,Burnley,Burnley,GB
E0,Cardiff,Cardiff,GB
E0,Charlton,London,GB
E0,Derby,Derby,GB
E0,Huddersfield,Huddersfield,GB
E0,Leicester,Leicester,GB
E0,Luton,Luton,GB
E0,Middlesbrough,Middlesbrough,GB
E0,Norwich,Norwich,GB
E0,Portsmouth,Portsmouth,GB
E0,QPR,London,GB
E0,Reading,Reading,GB
E0,Sheffield United,Sheffield,GB
E0,Southampton,Southampton,GB
E0,Stoke,Stoke-on-Trent,GB
E0,Swansea,Swansea,GB
E0,Watford,Watford,GB
E0,West Brom,West Bromwich,GB
E0,West Ham,London,GB
E0,Wigan,Wigan,GB
E0,Wolves,Wolverhampton,GB
F1,Ajaccio,Ajaccio,FR
F1,Ajaccio GFCO,Ajaccio,FR
F1,Amiens,Amiens,FR
F1,Arles,Avignon,FR
F1,Bastia,Bastia,FR
F1,Bordeaux,Bordeaux,FR
F1,Boulogne,Boulogne-sur-Mer,FR
F1,Caen,Caen,FR
F1,Clermont,Clermont-Ferrand,FR
F1,Dijon,Dijon,FR
F1,Evian Thonon Gaillard,Annecy,FR
F1,Grenoble,Grenoble,FR
F1,Guingamp,Guingamp,FR
F1,Istres,Istres,FR
F1,Metz,Metz,FR
F1,Montpellier,Montpellier,FR
F1,Nancy,Nancy,FR
F1,Nantes,Nantes,FR
F1,Nimes,Nîmes,FR
F1,Reims,Reims,FR
F1,Sedan,Sedan,FR
F1,Sochaux,Montbéliard,FR
F1,St Etienne,Saint-Étienne,FR
F1,Valenciennes,Valenciennes,FR
FIN,Ekenas,Ekenäs,FI
FIN,HIFK,Helsinki,FI
FIN,Haka,Valkeakoski,FI
FIN,Honka,Espoo,FI
FIN,JJK Jyvaskyla,Jyväskylä,FI
FIN,KPV Kokkola,Kokkola,FI
FIN,KTP,Kotka,FI
FIN,MyPa,Kouvola,FI
FIN,PK-35 Vantaa,Vantaa,FI
FIN,PS Kemi,Kemi,FI
FIN,Rovaniemi,Rovaniemi,FI
G1,Akratitos,Athens,GR
G1,Apollon,Athens,GR
G1,Athens Kallithea,Athens,GR
G1,Athinaikos,Athens,GR
G1,Chalkidona,Athens,GR
G1,Doxa Dramas,Drama,GR
G1,Egaleo,Athens,GR
G1,Ergotelis,Heraklion,GR
G1,Eth Asteras,Thessaloniki,GR
G1,Giannina,Ioannina,GR
G1,Ionikos,Piraeus,GR
G1,Kalamaria,Thessaloniki,GR
G1,Kalithea,Athens,GR
G1,Kallithea,Athens,GR
G1,Kallonis,Kalloní,GR
G1,Kavala,Kavala,GR
G1,Kerkyra,Kérkyra,GR
G1,Lamia,Lamia,GR
G1,Larisa,Larissa,GR
G1,OFI Crete,Heraklion,GR
G1,Olympiakos Volou,Volos,GR
G1,Panahaiki,Patras,GR
G1,Paniliakos,Pyrgos,GR
G1,Panionios,Athens,GR
G1,Panserraikos,Serres,GR
G1,Panthrakikos,Komotini,GR
G1,Platanias,Chania,GR
G1,Proodeftiki,Piraeus,GR
G1,Thrasyvoulos,Athens,GR
G1,Veria,Veria,GR
G1,Volos NFC,Volos,GR
G1,Xanthi,Xanthi,GR
G1,Yiannina,Ioannina,GR
I1,Ancona,Ancona,IT
I1,Ascoli,Ascoli Piceno,IT
I1,Bari,Bari,IT
I1,Benevento,Benevento,IT
I1,Brescia,Brescia,IT
I1,Carpi,Carpi,IT
I1,Catania,Catania,IT
I1,Cesena,Cesena,IT
I1,Chievo,Verona,IT
I1,Cremonese,Cremona,IT
I1,Crotone,Crotone,IT
I1,Empoli,Empoli,IT
I1,Livorno,Livorno,IT
I1,Messina,Messina,IT
I1,Modena,Modena,IT
I1,Novara,Novara,IT
I1,Palermo,Palermo,IT
I1,Perugia,Perugia,IT
I1,Pescara,Pescara,IT
I1,Piacenza,Piacenza,IT
I1,Pisa,Pisa,IT
I1,Reggina,Reggio Calabria,IT
I1,Salernitana,Salerno,IT
I1,Sampdoria,Genoa,IT
I1,Siena,Siena,IT
I1,Spal,Ferrara,IT
I1,Spezia,La Spezia,IT
I1,Treviso,Treviso,IT
I1,Verona,Verona,IT
I1,Vicenza,Vicenza,IT
IRL,Athlone,Athlone,IE
IRL,Bray,Bray,IE
IRL,Cabinteely,Dublin,IE
IRL,Cobh Ramblers,Cobh,IE
IRL,Cork City,Cork,IE
IRL,Finn Harps,Ballybofey,IE
IRL,Limerick,Limerick,IE
IRL,Longford,Longford,IE
IRL,Mervue,Galway,IE
IRL,Monaghan,Monaghan,IE
IRL,Treaty United,Limerick,IE
IRL,UC Dublin,Dublin,IE
IRL,Wexford,Wexford,IE
